[run number];breeding-habitat-number;feeding-habitat-number;percent-specialized-bees;breeding-habitat-size;max-distance-breed;max-distance-feed;feeding-habitat-size;bee-number;min-distance-breed;min-distance-feed;[step];count specialized-bees;count bees - count specialized-bees;count bees;count crops;count wildflowers;count flowers with [color = cyan];count flowers;sum [seeds] of crops;count agriculture;count feeding-habitat;count breeding-habitat
9;1;1;0.5;1;1;1;1;10;1;5;2199;0;3;3;25965;10;10;25975;235;2599;1;1
8;1;1;0.5;1;1;1;1;10;1;5;2199;0;3;3;25976;10;10;25986;244;2599;1;1
3;1;1;0.5;1;1;1;1;10;1;1;2199;0;7;7;25975;10;10;25985;538;2599;1;1
7;1;1;0.5;1;1;1;1;10;1;5;2199;0;5;5;25976;10;9;25986;397;2599;1;1
10;1;1;0.5;1;1;1;1;10;3;1;2199;0;9;9;25965;10;8;25975;704;2599;1;1
4;1;1;0.5;1;1;1;1;10;1;3;2199;0;8;8;25971;10;10;25981;635;2599;1;1
6;1;1;0.5;1;1;1;1;10;1;3;2199;0;9;9;25963;10;10;25973;707;2599;1;1
1;1;1;0.5;1;1;1;1;10;1;1;2199;0;7;7;25972;10;10;25982;556;2599;1;1
2;1;1;0.5;1;1;1;1;10;1;1;2199;0;9;9;25972;10;10;25982;702;2599;1;1
11;1;1;0.5;1;1;1;1;10;3;1;2199;0;4;4;25980;10;0;25990;322;2599;1;1
12;1;1;0.5;1;1;1;1;10;3;1;2199;0;8;8;25964;10;10;25974;569;2599;1;1
5;1;1;0.5;1;1;1;1;10;1;3;2199;0;6;6;25961;10;10;25971;475;2599;1;1
15;1;1;0.5;1;1;1;1;10;3;3;2199;0;7;7;25974;10;10;25984;550;2599;1;1
14;1;1;0.5;1;1;1;1;10;3;3;2199;0;8;8;25963;10;9;25973;621;2599;1;1
13;1;1;0.5;1;1;1;1;10;3;3;2199;0;10;10;25972;10;10;25982;763;2599;1;1
17;1;1;0.5;1;1;1;1;10;3;5;2199;0;2;2;25969;10;10;25979;138;2599;1;1
16;1;1;0.5;1;1;1;1;10;3;5;2199;0;4;4;25974;10;10;25984;279;2599;1;1
18;1;1;0.5;1;1;1;1;10;3;5;2199;0;8;8;25975;10;10;25985;641;2599;1;1
19;1;1;0.5;1;1;1;1;10;5;1;2199;0;0;0;25964;10;10;25974;0;2599;1;1
21;1;1;0.5;1;1;1;1;10;5;1;2199;0;4;4;25956;10;10;25966;304;2599;1;1
22;1;1;0.5;1;1;1;1;10;5;3;2199;0;9;9;25972;10;6;25982;687;2599;1;1
20;1;1;0.5;1;1;1;1;10;5;1;2199;0;8;8;25974;10;10;25984;624;2599;1;1
